image1,image2,label
./datasets/raw_data\Early_Aramaic\character08\0258_05.png,./datasets/raw_data\Early_Aramaic\character08\0258_06.png,464
./datasets/raw_data\Early_Aramaic\character08\0258_06.png,./datasets/raw_data\Early_Aramaic\character08\0258_07.png,464
./datasets/raw_data\Early_Aramaic\character08\0258_07.png,./datasets/raw_data\Early_Aramaic\character08\0258_08.png,464
./datasets/raw_data\Early_Aramaic\character08\0258_08.png,./datasets/raw_data\Early_Aramaic\character08\0258_09.png,464
./datasets/raw_data\Early_Aramaic\character08\0258_09.png,./datasets/raw_data\Early_Aramaic\character08\0258_10.png,464
./datasets/raw_data\Early_Aramaic\character08\0258_10.png,./datasets/raw_data\Early_Aramaic\character08\0258_11.png,464
./datasets/raw_data\Early_Aramaic\character09\0259_01.png,./datasets/raw_data\Early_Aramaic\character09\0259_02.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_02.png,./datasets/raw_data\Early_Aramaic\character09\0259_03.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_03.png,./datasets/raw_data\Early_Aramaic\character09\0259_04.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_04.png,./datasets/raw_data\Early_Aramaic\character09\0259_05.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_05.png,./datasets/raw_data\Early_Aramaic\character09\0259_06.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_06.png,./datasets/raw_data\Early_Aramaic\character09\0259_07.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_07.png,./datasets/raw_data\Early_Aramaic\character09\0259_08.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_08.png,./datasets/raw_data\Early_Aramaic\character09\0259_09.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_09.png,./datasets/raw_data\Early_Aramaic\character09\0259_10.png,465
./datasets/raw_data\Early_Aramaic\character09\0259_10.png,./datasets/raw_data\Early_Aramaic\character09\0259_11.png,465
./datasets/raw_data\Early_Aramaic\character10\0260_01.png,./datasets/raw_data\Early_Aramaic\character10\0260_02.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_02.png,./datasets/raw_data\Early_Aramaic\character10\0260_03.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_03.png,./datasets/raw_data\Early_Aramaic\character10\0260_04.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_04.png,./datasets/raw_data\Early_Aramaic\character10\0260_05.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_05.png,./datasets/raw_data\Early_Aramaic\character10\0260_06.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_06.png,./datasets/raw_data\Early_Aramaic\character10\0260_07.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_07.png,./datasets/raw_data\Early_Aramaic\character10\0260_08.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_08.png,./datasets/raw_data\Early_Aramaic\character10\0260_09.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_09.png,./datasets/raw_data\Early_Aramaic\character10\0260_10.png,466
./datasets/raw_data\Early_Aramaic\character10\0260_10.png,./datasets/raw_data\Early_Aramaic\character10\0260_11.png,466
./datasets/raw_data\Early_Aramaic\character11\0261_01.png,./datasets/raw_data\Early_Aramaic\character11\0261_02.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_02.png,./datasets/raw_data\Early_Aramaic\character11\0261_03.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_03.png,./datasets/raw_data\Early_Aramaic\character11\0261_04.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_04.png,./datasets/raw_data\Early_Aramaic\character11\0261_05.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_05.png,./datasets/raw_data\Early_Aramaic\character11\0261_06.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_06.png,./datasets/raw_data\Early_Aramaic\character11\0261_07.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_07.png,./datasets/raw_data\Early_Aramaic\character11\0261_08.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_08.png,./datasets/raw_data\Early_Aramaic\character11\0261_09.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_09.png,./datasets/raw_data\Early_Aramaic\character11\0261_10.png,467
./datasets/raw_data\Early_Aramaic\character11\0261_10.png,./datasets/raw_data\Early_Aramaic\character11\0261_11.png,467
./datasets/raw_data\Early_Aramaic\character12\0262_01.png,./datasets/raw_data\Early_Aramaic\character12\0262_02.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_02.png,./datasets/raw_data\Early_Aramaic\character12\0262_03.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_03.png,./datasets/raw_data\Early_Aramaic\character12\0262_04.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_04.png,./datasets/raw_data\Early_Aramaic\character12\0262_05.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_05.png,./datasets/raw_data\Early_Aramaic\character12\0262_06.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_06.png,./datasets/raw_data\Early_Aramaic\character12\0262_07.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_07.png,./datasets/raw_data\Early_Aramaic\character12\0262_08.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_08.png,./datasets/raw_data\Early_Aramaic\character12\0262_09.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_09.png,./datasets/raw_data\Early_Aramaic\character12\0262_10.png,468
./datasets/raw_data\Early_Aramaic\character12\0262_10.png,./datasets/raw_data\Early_Aramaic\character12\0262_11.png,468
./datasets/raw_data\Early_Aramaic\character13\0263_01.png,./datasets/raw_data\Early_Aramaic\character13\0263_02.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_02.png,./datasets/raw_data\Early_Aramaic\character13\0263_03.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_03.png,./datasets/raw_data\Early_Aramaic\character13\0263_04.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_04.png,./datasets/raw_data\Early_Aramaic\character13\0263_05.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_05.png,./datasets/raw_data\Early_Aramaic\character13\0263_06.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_06.png,./datasets/raw_data\Early_Aramaic\character13\0263_07.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_07.png,./datasets/raw_data\Early_Aramaic\character13\0263_08.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_08.png,./datasets/raw_data\Early_Aramaic\character13\0263_09.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_09.png,./datasets/raw_data\Early_Aramaic\character13\0263_10.png,469
./datasets/raw_data\Early_Aramaic\character13\0263_10.png,./datasets/raw_data\Early_Aramaic\character13\0263_11.png,469
./datasets/raw_data\Early_Aramaic\character14\0264_01.png,./datasets/raw_data\Early_Aramaic\character14\0264_02.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_02.png,./datasets/raw_data\Early_Aramaic\character14\0264_03.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_03.png,./datasets/raw_data\Early_Aramaic\character14\0264_04.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_04.png,./datasets/raw_data\Early_Aramaic\character14\0264_05.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_05.png,./datasets/raw_data\Early_Aramaic\character14\0264_06.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_06.png,./datasets/raw_data\Early_Aramaic\character14\0264_07.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_07.png,./datasets/raw_data\Early_Aramaic\character14\0264_08.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_08.png,./datasets/raw_data\Early_Aramaic\character14\0264_09.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_09.png,./datasets/raw_data\Early_Aramaic\character14\0264_10.png,470
./datasets/raw_data\Early_Aramaic\character14\0264_10.png,./datasets/raw_data\Early_Aramaic\character14\0264_11.png,470
./datasets/raw_data\Early_Aramaic\character15\0265_01.png,./datasets/raw_data\Early_Aramaic\character15\0265_02.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_02.png,./datasets/raw_data\Early_Aramaic\character15\0265_03.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_03.png,./datasets/raw_data\Early_Aramaic\character15\0265_04.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_04.png,./datasets/raw_data\Early_Aramaic\character15\0265_05.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_05.png,./datasets/raw_data\Early_Aramaic\character15\0265_06.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_06.png,./datasets/raw_data\Early_Aramaic\character15\0265_07.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_07.png,./datasets/raw_data\Early_Aramaic\character15\0265_08.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_08.png,./datasets/raw_data\Early_Aramaic\character15\0265_09.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_09.png,./datasets/raw_data\Early_Aramaic\character15\0265_10.png,471
./datasets/raw_data\Early_Aramaic\character15\0265_10.png,./datasets/raw_data\Early_Aramaic\character15\0265_11.png,471
./datasets/raw_data\Early_Aramaic\character16\0266_01.png,./datasets/raw_data\Early_Aramaic\character16\0266_02.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_02.png,./datasets/raw_data\Early_Aramaic\character16\0266_03.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_03.png,./datasets/raw_data\Early_Aramaic\character16\0266_04.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_04.png,./datasets/raw_data\Early_Aramaic\character16\0266_05.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_05.png,./datasets/raw_data\Early_Aramaic\character16\0266_06.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_06.png,./datasets/raw_data\Early_Aramaic\character16\0266_07.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_07.png,./datasets/raw_data\Early_Aramaic\character16\0266_08.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_08.png,./datasets/raw_data\Early_Aramaic\character16\0266_09.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_09.png,./datasets/raw_data\Early_Aramaic\character16\0266_10.png,472
./datasets/raw_data\Early_Aramaic\character16\0266_10.png,./datasets/raw_data\Early_Aramaic\character16\0266_11.png,472
./datasets/raw_data\Early_Aramaic\character17\0267_01.png,./datasets/raw_data\Early_Aramaic\character17\0267_02.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_02.png,./datasets/raw_data\Early_Aramaic\character17\0267_03.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_03.png,./datasets/raw_data\Early_Aramaic\character17\0267_04.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_04.png,./datasets/raw_data\Early_Aramaic\character17\0267_05.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_05.png,./datasets/raw_data\Early_Aramaic\character17\0267_06.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_06.png,./datasets/raw_data\Early_Aramaic\character17\0267_07.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_07.png,./datasets/raw_data\Early_Aramaic\character17\0267_08.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_08.png,./datasets/raw_data\Early_Aramaic\character17\0267_09.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_09.png,./datasets/raw_data\Early_Aramaic\character17\0267_10.png,473
./datasets/raw_data\Early_Aramaic\character17\0267_10.png,./datasets/raw_data\Early_Aramaic\character17\0267_11.png,473
./datasets/raw_data\Early_Aramaic\character18\0268_01.png,./datasets/raw_data\Early_Aramaic\character18\0268_02.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_02.png,./datasets/raw_data\Early_Aramaic\character18\0268_03.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_03.png,./datasets/raw_data\Early_Aramaic\character18\0268_04.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_04.png,./datasets/raw_data\Early_Aramaic\character18\0268_05.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_05.png,./datasets/raw_data\Early_Aramaic\character18\0268_06.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_06.png,./datasets/raw_data\Early_Aramaic\character18\0268_07.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_07.png,./datasets/raw_data\Early_Aramaic\character18\0268_08.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_08.png,./datasets/raw_data\Early_Aramaic\character18\0268_09.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_09.png,./datasets/raw_data\Early_Aramaic\character18\0268_10.png,474
./datasets/raw_data\Early_Aramaic\character18\0268_10.png,./datasets/raw_data\Early_Aramaic\character18\0268_11.png,474
./datasets/raw_data\Early_Aramaic\character19\0269_01.png,./datasets/raw_data\Early_Aramaic\character19\0269_02.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_02.png,./datasets/raw_data\Early_Aramaic\character19\0269_03.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_03.png,./datasets/raw_data\Early_Aramaic\character19\0269_04.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_04.png,./datasets/raw_data\Early_Aramaic\character19\0269_05.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_05.png,./datasets/raw_data\Early_Aramaic\character19\0269_06.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_06.png,./datasets/raw_data\Early_Aramaic\character19\0269_07.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_07.png,./datasets/raw_data\Early_Aramaic\character19\0269_08.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_08.png,./datasets/raw_data\Early_Aramaic\character19\0269_09.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_09.png,./datasets/raw_data\Early_Aramaic\character19\0269_10.png,475
./datasets/raw_data\Early_Aramaic\character19\0269_10.png,./datasets/raw_data\Early_Aramaic\character19\0269_11.png,475
./datasets/raw_data\Early_Aramaic\character20\0270_01.png,./datasets/raw_data\Early_Aramaic\character20\0270_02.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_02.png,./datasets/raw_data\Early_Aramaic\character20\0270_03.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_03.png,./datasets/raw_data\Early_Aramaic\character20\0270_04.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_04.png,./datasets/raw_data\Early_Aramaic\character20\0270_05.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_05.png,./datasets/raw_data\Early_Aramaic\character20\0270_06.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_06.png,./datasets/raw_data\Early_Aramaic\character20\0270_07.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_07.png,./datasets/raw_data\Early_Aramaic\character20\0270_08.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_08.png,./datasets/raw_data\Early_Aramaic\character20\0270_09.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_09.png,./datasets/raw_data\Early_Aramaic\character20\0270_10.png,476
./datasets/raw_data\Early_Aramaic\character20\0270_10.png,./datasets/raw_data\Early_Aramaic\character20\0270_11.png,476
./datasets/raw_data\Early_Aramaic\character21\0271_01.png,./datasets/raw_data\Early_Aramaic\character21\0271_02.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_02.png,./datasets/raw_data\Early_Aramaic\character21\0271_03.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_03.png,./datasets/raw_data\Early_Aramaic\character21\0271_04.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_04.png,./datasets/raw_data\Early_Aramaic\character21\0271_05.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_05.png,./datasets/raw_data\Early_Aramaic\character21\0271_06.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_06.png,./datasets/raw_data\Early_Aramaic\character21\0271_07.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_07.png,./datasets/raw_data\Early_Aramaic\character21\0271_08.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_08.png,./datasets/raw_data\Early_Aramaic\character21\0271_09.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_09.png,./datasets/raw_data\Early_Aramaic\character21\0271_10.png,477
./datasets/raw_data\Early_Aramaic\character21\0271_10.png,./datasets/raw_data\Early_Aramaic\character21\0271_11.png,477
./datasets/raw_data\Early_Aramaic\character22\0272_01.png,./datasets/raw_data\Early_Aramaic\character22\0272_02.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_02.png,./datasets/raw_data\Early_Aramaic\character22\0272_03.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_03.png,./datasets/raw_data\Early_Aramaic\character22\0272_04.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_04.png,./datasets/raw_data\Early_Aramaic\character22\0272_05.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_05.png,./datasets/raw_data\Early_Aramaic\character22\0272_06.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_06.png,./datasets/raw_data\Early_Aramaic\character22\0272_07.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_07.png,./datasets/raw_data\Early_Aramaic\character22\0272_08.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_08.png,./datasets/raw_data\Early_Aramaic\character22\0272_09.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_09.png,./datasets/raw_data\Early_Aramaic\character22\0272_10.png,478
./datasets/raw_data\Early_Aramaic\character22\0272_10.png,./datasets/raw_data\Early_Aramaic\character22\0272_11.png,478
./datasets/raw_data\Futurama\character01\0325_01.png,./datasets/raw_data\Futurama\character01\0325_02.png,479
./datasets/raw_data\Futurama\character01\0325_02.png,./datasets/raw_data\Futurama\character01\0325_03.png,479
./datasets/raw_data\Futurama\character01\0325_03.png,./datasets/raw_data\Futurama\character01\0325_04.png,479
./datasets/raw_data\Futurama\character01\0325_04.png,./datasets/raw_data\Futurama\character01\0325_05.png,479
./datasets/raw_data\Futurama\character01\0325_05.png,./datasets/raw_data\Futurama\character01\0325_06.png,479
./datasets/raw_data\Futurama\character01\0325_06.png,./datasets/raw_data\Futurama\character01\0325_07.png,479
./datasets/raw_data\Futurama\character01\0325_07.png,./datasets/raw_data\Futurama\character01\0325_08.png,479
./datasets/raw_data\Futurama\character01\0325_08.png,./datasets/raw_data\Futurama\character01\0325_09.png,479
./datasets/raw_data\Futurama\character01\0325_09.png,./datasets/raw_data\Futurama\character01\0325_10.png,479
./datasets/raw_data\Futurama\character01\0325_10.png,./datasets/raw_data\Futurama\character01\0325_11.png,479
./datasets/raw_data\Futurama\character02\0326_01.png,./datasets/raw_data\Futurama\character02\0326_02.png,480
./datasets/raw_data\Futurama\character02\0326_02.png,./datasets/raw_data\Futurama\character02\0326_03.png,480
./datasets/raw_data\Futurama\character02\0326_03.png,./datasets/raw_data\Futurama\character02\0326_04.png,480
./datasets/raw_data\Futurama\character02\0326_04.png,./datasets/raw_data\Futurama\character02\0326_05.png,480
./datasets/raw_data\Futurama\character02\0326_05.png,./datasets/raw_data\Futurama\character02\0326_06.png,480
./datasets/raw_data\Futurama\character02\0326_06.png,./datasets/raw_data\Futurama\character02\0326_07.png,480
./datasets/raw_data\Futurama\character02\0326_07.png,./datasets/raw_data\Futurama\character02\0326_08.png,480
./datasets/raw_data\Futurama\character02\0326_08.png,./datasets/raw_data\Futurama\character02\0326_09.png,480
./datasets/raw_data\Futurama\character02\0326_09.png,./datasets/raw_data\Futurama\character02\0326_10.png,480
./datasets/raw_data\Futurama\character02\0326_10.png,./datasets/raw_data\Futurama\character02\0326_11.png,480
./datasets/raw_data\Futurama\character03\0327_01.png,./datasets/raw_data\Futurama\character03\0327_02.png,481
./datasets/raw_data\Futurama\character03\0327_02.png,./datasets/raw_data\Futurama\character03\0327_03.png,481
./datasets/raw_data\Futurama\character03\0327_03.png,./datasets/raw_data\Futurama\character03\0327_04.png,481
./datasets/raw_data\Futurama\character03\0327_04.png,./datasets/raw_data\Futurama\character03\0327_05.png,481
./datasets/raw_data\Futurama\character03\0327_05.png,./datasets/raw_data\Futurama\character03\0327_06.png,481
./datasets/raw_data\Futurama\character03\0327_06.png,./datasets/raw_data\Futurama\character03\0327_07.png,481
./datasets/raw_data\Futurama\character03\0327_07.png,./datasets/raw_data\Futurama\character03\0327_08.png,481
./datasets/raw_data\Futurama\character03\0327_08.png,./datasets/raw_data\Futurama\character03\0327_09.png,481
./datasets/raw_data\Futurama\character03\0327_09.png,./datasets/raw_data\Futurama\character03\0327_10.png,481
./datasets/raw_data\Futurama\character03\0327_10.png,./datasets/raw_data\Futurama\character03\0327_11.png,481
./datasets/raw_data\Futurama\character04\0328_01.png,./datasets/raw_data\Futurama\character04\0328_02.png,482
./datasets/raw_data\Futurama\character04\0328_02.png,./datasets/raw_data\Futurama\character04\0328_03.png,482
./datasets/raw_data\Futurama\character04\0328_03.png,./datasets/raw_data\Futurama\character04\0328_04.png,482
./datasets/raw_data\Futurama\character04\0328_04.png,./datasets/raw_data\Futurama\character04\0328_05.png,482
./datasets/raw_data\Futurama\character04\0328_05.png,./datasets/raw_data\Futurama\character04\0328_06.png,482
./datasets/raw_data\Futurama\character04\0328_06.png,./datasets/raw_data\Futurama\character04\0328_07.png,482
./datasets/raw_data\Futurama\character04\0328_07.png,./datasets/raw_data\Futurama\character04\0328_08.png,482
./datasets/raw_data\Futurama\character04\0328_08.png,./datasets/raw_data\Futurama\character04\0328_09.png,482
./datasets/raw_data\Futurama\character04\0328_09.png,./datasets/raw_data\Futurama\character04\0328_10.png,482
./datasets/raw_data\Futurama\character04\0328_10.png,./datasets/raw_data\Futurama\character04\0328_11.png,482
./datasets/raw_data\Futurama\character05\0329_01.png,./datasets/raw_data\Futurama\character05\0329_02.png,483
./datasets/raw_data\Futurama\character05\0329_02.png,./datasets/raw_data\Futurama\character05\0329_03.png,483
./datasets/raw_data\Futurama\character05\0329_03.png,./datasets/raw_data\Futurama\character05\0329_04.png,483
./datasets/raw_data\Futurama\character05\0329_04.png,./datasets/raw_data\Futurama\character05\0329_05.png,483
./datasets/raw_data\Futurama\character05\0329_05.png,./datasets/raw_data\Futurama\character05\0329_06.png,483
./datasets/raw_data\Futurama\character05\0329_06.png,./datasets/raw_data\Futurama\character05\0329_07.png,483
./datasets/raw_data\Futurama\character05\0329_07.png,./datasets/raw_data\Futurama\character05\0329_08.png,483
./datasets/raw_data\Futurama\character05\0329_08.png,./datasets/raw_data\Futurama\character05\0329_09.png,483
./datasets/raw_data\Futurama\character05\0329_09.png,./datasets/raw_data\Futurama\character05\0329_10.png,483
./datasets/raw_data\Futurama\character05\0329_10.png,./datasets/raw_data\Futurama\character05\0329_11.png,483
./datasets/raw_data\Futurama\character06\0330_01.png,./datasets/raw_data\Futurama\character06\0330_02.png,484
./datasets/raw_data\Futurama\character06\0330_02.png,./datasets/raw_data\Futurama\character06\0330_03.png,484
./datasets/raw_data\Futurama\character06\0330_03.png,./datasets/raw_data\Futurama\character06\0330_04.png,484
./datasets/raw_data\Futurama\character06\0330_04.png,./datasets/raw_data\Futurama\character06\0330_05.png,484
./datasets/raw_data\Futurama\character06\0330_05.png,./datasets/raw_data\Futurama\character06\0330_06.png,484
./datasets/raw_data\Futurama\character06\0330_06.png,./datasets/raw_data\Futurama\character06\0330_07.png,484
./datasets/raw_data\Futurama\character06\0330_07.png,./datasets/raw_data\Futurama\character06\0330_08.png,484
./datasets/raw_data\Futurama\character06\0330_08.png,./datasets/raw_data\Futurama\character06\0330_09.png,484
./datasets/raw_data\Futurama\character06\0330_09.png,./datasets/raw_data\Futurama\character06\0330_10.png,484
./datasets/raw_data\Futurama\character06\0330_10.png,./datasets/raw_data\Futurama\character06\0330_11.png,484
./datasets/raw_data\Futurama\character07\0331_01.png,./datasets/raw_data\Futurama\character07\0331_02.png,485
./datasets/raw_data\Futurama\character07\0331_02.png,./datasets/raw_data\Futurama\character07\0331_03.png,485
./datasets/raw_data\Futurama\character07\0331_03.png,./datasets/raw_data\Futurama\character07\0331_04.png,485
./datasets/raw_data\Futurama\character07\0331_04.png,./datasets/raw_data\Futurama\character07\0331_05.png,485
./datasets/raw_data\Futurama\character07\0331_05.png,./datasets/raw_data\Futurama\character07\0331_06.png,485
./datasets/raw_data\Futurama\character07\0331_06.png,./datasets/raw_data\Futurama\character07\0331_07.png,485
./datasets/raw_data\Futurama\character07\0331_07.png,./datasets/raw_data\Futurama\character07\0331_08.png,485
./datasets/raw_data\Futurama\character07\0331_08.png,./datasets/raw_data\Futurama\character07\0331_09.png,485
./datasets/raw_data\Futurama\character07\0331_09.png,./datasets/raw_data\Futurama\character07\0331_10.png,485
./datasets/raw_data\Futurama\character07\0331_10.png,./datasets/raw_data\Futurama\character07\0331_11.png,485
./datasets/raw_data\Futurama\character08\0332_01.png,./datasets/raw_data\Futurama\character08\0332_02.png,486
./datasets/raw_data\Futurama\character08\0332_02.png,./datasets/raw_data\Futurama\character08\0332_03.png,486
./datasets/raw_data\Futurama\character08\0332_03.png,./datasets/raw_data\Futurama\character08\0332_04.png,486
./datasets/raw_data\Futurama\character08\0332_04.png,./datasets/raw_data\Futurama\character08\0332_05.png,486
./datasets/raw_data\Futurama\character08\0332_05.png,./datasets/raw_data\Futurama\character08\0332_06.png,486
./datasets/raw_data\Futurama\character08\0332_06.png,./datasets/raw_data\Futurama\character08\0332_07.png,486
./datasets/raw_data\Futurama\character08\0332_07.png,./datasets/raw_data\Futurama\character08\0332_08.png,486
./datasets/raw_data\Futurama\character08\0332_08.png,./datasets/raw_data\Futurama\character08\0332_09.png,486
./datasets/raw_data\Futurama\character08\0332_09.png,./datasets/raw_data\Futurama\character08\0332_10.png,486
./datasets/raw_data\Futurama\character08\0332_10.png,./datasets/raw_data\Futurama\character08\0332_11.png,486
./datasets/raw_data\Futurama\character09\0333_01.png,./datasets/raw_data\Futurama\character09\0333_02.png,487
./datasets/raw_data\Futurama\character09\0333_02.png,./datasets/raw_data\Futurama\character09\0333_03.png,487
./datasets/raw_data\Futurama\character09\0333_03.png,./datasets/raw_data\Futurama\character09\0333_04.png,487
./datasets/raw_data\Futurama\character09\0333_04.png,./datasets/raw_data\Futurama\character09\0333_05.png,487
./datasets/raw_data\Futurama\character09\0333_05.png,./datasets/raw_data\Futurama\character09\0333_06.png,487
./datasets/raw_data\Futurama\character09\0333_06.png,./datasets/raw_data\Futurama\character09\0333_07.png,487
./datasets/raw_data\Futurama\character09\0333_07.png,./datasets/raw_data\Futurama\character09\0333_08.png,487
./datasets/raw_data\Futurama\character09\0333_08.png,./datasets/raw_data\Futurama\character09\0333_09.png,487
./datasets/raw_data\Futurama\character09\0333_09.png,./datasets/raw_data\Futurama\character09\0333_10.png,487
./datasets/raw_data\Futurama\character09\0333_10.png,./datasets/raw_data\Futurama\character09\0333_11.png,487
./datasets/raw_data\Futurama\character10\0334_01.png,./datasets/raw_data\Futurama\character10\0334_02.png,488
./datasets/raw_data\Futurama\character10\0334_02.png,./datasets/raw_data\Futurama\character10\0334_03.png,488
./datasets/raw_data\Futurama\character10\0334_03.png,./datasets/raw_data\Futurama\character10\0334_04.png,488
./datasets/raw_data\Futurama\character10\0334_04.png,./datasets/raw_data\Futurama\character10\0334_05.png,488
./datasets/raw_data\Futurama\character10\0334_05.png,./datasets/raw_data\Futurama\character10\0334_06.png,488
./datasets/raw_data\Futurama\character10\0334_06.png,./datasets/raw_data\Futurama\character10\0334_07.png,488
./datasets/raw_data\Futurama\character10\0334_07.png,./datasets/raw_data\Futurama\character10\0334_08.png,488
./datasets/raw_data\Futurama\character10\0334_08.png,./datasets/raw_data\Futurama\character10\0334_09.png,488
./datasets/raw_data\Futurama\character10\0334_09.png,./datasets/raw_data\Futurama\character10\0334_10.png,488
./datasets/raw_data\Futurama\character10\0334_10.png,./datasets/raw_data\Futurama\character10\0334_11.png,488
